Name	Set	ImageFile	Energy	Attack	Counter	Class	Type	Weapon Rank	Equipment	Leadership	Constitution	Relationships	Skills/Abilities/Affinity	Emblem Powers/Sacred Stones/Divine Siblings	Special Abilities	Use Timing	Effect	Nation	Rom. Name	Script
Johan (Lv10) .	RA	RA-008.png	7	3	2	Great Knight	Male/Axe/Direct/Cavalry	Axe A	Poleaxe [Effective Attack]: +2 vs. Cavalry			Father: Danann / Brother: Brian, Johalva	Vantage		[Re-movement] (Energy 1): After an action, the unit can move again.			House Dozel	Johan	
Johalva (Lv10) .	RA	RA-009.png	7	2	2	Warrior	Male/Axe/Indirect/Infantry	Axe A / Bow B	Hand Axe: Can perform indirect attacks with initial equipment			Father: Danann / Brother: Brian, Johan	Accost		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			House Dozel	Johalva	
Brian (Lv1) .	RA	RA-010.png	6	3	2	Master Knight	Male/Axe/Direct/Cavalry	Sword A / Lance A / Axe A / Bow A	Steel Axe			Father: Danann / Brother: Johan, Johalva	Pursuit, Accost		[Re-movement] (Energy 1): After an action, the unit can move again.			House Dozel	Burian	
Olwen (Lv10) .	RA	RA-011.png	6	1	2	Mage Knight	Female/Thunder/Magic/Cavalry	Sword B / Fire C / Thunder B / Wind C	Dimethunder: Number of attacks x2		1	Brother: Reinhardt	Rescue		[Re-mounting] (Energy 2): After an action, the unit can move again.			House Friege	Olwen	
Reinhardt (Lv15) .	RA	RA-012.png	6	1	2	Mage Knight	Male/Thunder/Magic/Cavalry	Sword A / Fire C / Thunder A / Wind C	Dimethunder: Number of attacks x2	3	3	Sister: Olwen	Vantage, Pavise, Continue, Accost, Rescue, Capture		[Re-mounting] (Energy 2): After an action, the unit can move again.			House Friege	Reinhardt	
Marth (Lv20) .	RA	RA-013.png	7	4	2	Lord	Male/Sword/Direct/Infantry	Sword A	Rapier [Effective Attack]: +1 vs. Cavalry and Armor			Sister: Elice / Support: Caeda		[Speed] (Hand 2) Retreat to avoid attack or counterattack / [Luck] (Outside the Battlefield 2): Disable 1 Emblem Power	[Command] (Energy 2): Reduce an Outside the Battlefield or Deck cost by 1. Effects stack. / [Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square.			Kingdom of Altea	Marth	
Elice (Lv10) .	RA	RA-014.png	6	3		Cleric	Female/Staff/Recovery/Infantry	Staff B	Physic Staff			Brother: Marth / Support: Merric		[Luck] (Outside the Battlefield 3): Disable 1 Emblem Power	[Support]: You can use used chips to support during the support step. Grants +1 support chip.			Kingdom of Altea	Elice	
Merric (Lv10) .	RA	RA-015.png	7	3	2	Sage	Male/Wind/Magic/Infantry	Staff A / Magic A	Excalibur [Hero's Wind] (Outside the Battlefield 4): When attacking, +2 Damage			Support: Elice		[Speed] (Hand 3): Retreat to avoid attack or counterattack / [Resistance] (Hand 2) Magic damage -2	[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Kingdom of Altea	Merric	
Nyna (Lv10) .	RA	RA-016.png	7	3	2	Bishop	Female/Thunder/Magic/Infantry	Staff A / Magic A	Thoron			Support: Camus		[Luck] (Outside the Battlefield 3): Disable 1 Emblem Power / [Resistance] (Hand 2) Magic damage -2	[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Kingdom of Archanea	Niena	
Boah (Lv10) .	RA	RA-017.png	7	4		Bishop	Male/Staff/Recovery/Infantry	Staff A / Magic A	Physic Staff					[Speed] (Hand 3): Retreat to avoid attack or counterattack / [Resistance] (Hand 2) Magic damage -2	[Support]: You can use used chips to support during the support step. Grants +1 support chip.			Kingdom of Archanea	Boha	
Linde (Lv10) .	RA	RA-018.png	7	3	2	Bishop	Female/Light/Magic/Infantry	Staff A / Magic A	Aura / Starsphere: When attacking, the energy cost is reduced to 1.			Support: Merric		[Luck] (Outside the Battlefield 3): Disable 1 Emblem Power / [Resistance] (Hand 2) Magic damage -2	[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Kingdom of Archanea	Rinda	
Astram (Lv10) .	RA	RA-019.png	7	5	2	Hero	Male/Sword/Direct/Infantry	Sword A	Steel Sword			Support: Midia		[Strength] (Energy 2): Damage modifier +2 / [Skill] (Energy 2): Disable 1 card effect	[Force Back] (Energy 2): If a direct attack deals damage, the enemy unit retreats 1 square.			Kingdom of Archanea	Astria	
Michalis (Lv10) .	RA	RA-020.png	7	2	2	Wyvern Knight	Male/Lance/Direct/Flying	Lance A	Knight Killer [Effective Attack]: +1 vs. Cavalry			Sister: Minerva, Maria		[Strength] (Energy 2): Damage modifier +2 / [Defense] (Hand 2): Weapon damage -2	[Surprise Attack]: Can be sortied with 1 energy chip, one square in front of your sortie squares. However, it cannot be moved during that turn.			Kingdom of Macedonia	Misheil	
Minerva (Lv10) .	RA	RA-021.png	8	4	2	Wyvern Knight	Female/Lance/Direct/Flying	Lance A	Steel Lance			Brother: Michalis / Sister: Maria		[Strength] (Energy 2): Damage modifier +2 / [Defense] (Hand 2): Weapon damage -2	[Surprise Attack]: Can be sortied with 1 energy chip, one square in front of your sortie squares. However, it cannot be moved during that turn.			Kingdom of Macedonia	Minerba	
Camus (Lv10) .	RA	RA-022.png	7	4	2	Paladin	Male/Lance/Indirect/Cavalry	Lance A	Gradivus: Can perform indirect attacks with initial equipment			Support: Nyna		[Speed] (Hand 3): Retreat to avoid attack or counterattack / [Resistance] (Hand 2): Magic damage -2	[Charge] If an attack after moving causes an adjacent enemy to withdraw, you can move to the square where the enemy unit was.			Kingdom of Grust	Camus	
Sheena (Lv10) .	RA	RA-023.png	8	4	2	General	Female/Lance/Direct/Infantry	Lance A	Steel Lance			Father: Jiol / Support: Samson		[Strength] (Energy 2): Damage modifier +2 / [Defense] (Hand 2): Weapon damage -2	[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip. / [Fetters] (Energy 2): During the enemy invasion phase, 1 adjacent enemy unit cannot move.			Kingdom of Gra	Sheema	
Wolf (Lv10) .	RA	RA-024.png	6	3	2	Horseman	Male/Bow/Indirect/Cavalry	Bow B	Steel Bow			Support: Hardin		[Strength] (Energy 2): Damage modifier +2 / [Defense] (Hand 2): Weapon damage -2	[Horseback Riding]: After an action, you can move except forward (to the adjacent left, right, or back).			Kingdom of Aurelis	Wolf	
Navarre (Lv10) .	RA	RA-025.png	7	5	2	Hero	Male/Sword/Direct/Infantry	Sword A	Steel Sword					[Speed] (Hand 3): Retreat to avoid attack or counterattack / [Luck] (Outside the Battlefield 3): Disable 1 Emblem Power	[Force Back] (Energy 2): If a direct attack deals damage, the enemy unit retreats 1 square.				Nabarl	
Gharnef (Lv10) .	RA	RA-026.png	7	1	2	Dark Mage	Male/Dark/Magic/Infantry	Staff A / Magic A	Dulam [Dark Gaze] (Outside the Battlefield X): When attacking, damage +X-2. This effect cannot reduce energy chips to 0 during damage calculation. X is the amount of energy chips on the attacked unit.					[Defense] (Hand 2): Weapon damage -2 / [Resistance] (Hand 2): Magic damage -2	[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Dolhr Empire	Garnef	
Ice Dragon (Lv10) .	RA	RA-027.png	8	4	2	Dragon Tribe	Male/Breath/Infantry	Dragon Lv: Ice							Can be placed on top of a Manakete with Dragon Lv "Ice" to sortie. If you sortie it without putting it on top of a Manakete, when its energy chips become 2 or less, it will withdraw. / [Ice Breath]: When attacking or counterattacking, +2 damage. / [White Scales] -2 damage when receiving weapon damage.					
Tyrfing .	RA	RA-028.png	2	5			Weapon	Sword *									This weapon can only be equipped to units belonging to "House Chalphy", and only 1 can be placed on the field. When declaring an attack with this weapon, "Surprise" and "Emblem Powers" cannot be used during the Preparation Second. When attacking with this weapon, receive -3 damage from enemy counterattacks as a damage modifier. / [Symbol]: Return this card from your hand to your deck, and move 2 chips from your used chip pile to your unused chip pile.			
Falchion .	RA	RA-029.png	2	2			Weapon	Pref									This weapon can only be equipped to "Marth", and only 1 copy can be placed on the field. In battle, negate the special abilities of "Manakete" and "Dragon Tribe". Damage modifier: Increase the damage dealt by +4. / [Tradition] (2 Unused) Add 1 unit belonging to the "Kingdom of Altea" from the deck to your hand, and return this card to the deck.			
Gradivus .	RA	RA-030.png	1	2			Weapon	Lance C									Only 1 of this weapon can be placed on the field, and it can only be equipped to units that have "Emblem Power" listed in their description. If you attack or counterattack an enemy with this weapon that is one square away, this weapon is removed. Damage modifier: Increase the damage dealt by +X. X corresponds to the equipment level [Lance] (C = 1, B = 2, A = 3) of the unit with this weapon.			
Prayer Sword .	RA	RA-031.png	2	1			Weapon	Sword C									This weapon can only be equipped to female units (name in pink). When fighting, you can spend 1 energy chip to reduce the number of attacks the enemy unit can perform by 1. This card is removed from play when the effect is used.			
Sleep Sword .	RA	RA-032.png	2	1			Weapon	Sword C									When an enemy unit receives attack or counterattack damage from this weapon, it receives the Sleep status until the end of the next Invasion Phase of the player controlling it. After using this effect, remove this. Sleep Status: Standby state, unable to counterattack, use "(Skill)"s, "(Ability)"s, and cannot be the target of effects that allow for action such as [Dance]. Also, weapon triangle is determined by initial equipment.			
Sleep Staff .	RA	RA-033.png	3				Magic	Staff B									The target enemy unit receives the Sleep status until the end of the next Invasion Phase of the player controlling it. After using this effect, remove this. Sleep Status: Standby state, unable to counterattack, use "(Skill)"s, "(Ability)"s, and cannot be the target of effects that allow for action such as [Dance]. Also, weapon triangle is determined by initial equipment.			
Baldr Scroll (Crusader Scroll) .	RA	RA-034.png	2				Item										Only 1 of this Item can be on the field, and it can only be equipped to a unit with [Sword] weapon level. A unit given this item has its equipment level of [Sword] increased by 1, however the maximum attainable rank is "A". When the unit equipped with this item, or any adjacent unit, attacks or counterattacks, reduce the energy chips consumed by 1.			
Lightsphere .	RA	RA-035.png	5				Item										Only 1 of this item can be placed on the field, and it can be given only to units that have "Emblem Power" listed in their description. When a unit who has been given this item is in battle, by spending 1 energy chip, you can negate 1 card other than a unit, of the effects of 1 special ability, Emblem Power, or initial equipment. This effect cannot be used multiple times. You can remove this item instead of acting with the unit to remove all land cards. Also, all units of your army retreat 1 square, and enemy units retreat 1 square. A unit which cannot retreat does not retreat.			
Darksphere .	RA	RA-036.png	5				Item										Only 1 of this item can be placed on the field, and it can be given only to units that have "Emblem Power" listed in their description. A unit who has been given this item can spend 1 energy chip to reduce the damage it receives by -3 as a damage modifier. This effect cannot be used multiple times. You can remove this item instead of acting with the unit to remove all weapon, magic, and item cards on the field.			
Iote's Shield .	RA	RA-037.png	3				Item										[Effective Attack Nullification] (Hand 1): Use this item when an enemy declares an attack or counterattack. When an attack or counterattack targets a unit with this item all weapon triangle and [Effective Attack] effects are negated. / [A Knight-Filled Sky] (4 Unused): Instead of a normal sortie, place any number of usused chips on 1 Flying unit from your deck or outside the battlefield as energy chips, and sortie it in a sortie square. By spending 1 additional unused chip as a cost, you may attach this item to the sortied unit. If you do not attach it, place this item outside the battlefield. Use this effect from your hand at the beginning of your Sortie Step.			
Nihil (skill) .	RA	RA-038.png	2				Surprise									When an enemy declares an attack or counterattack	You can target 1 unit of your army that has the skill "Nihil". Reduce the number of enemy attacks by -1. If Seliph uses this skill, the chip cost is reduced by -1.			
Accost (skill) .	RA	RA-039.png	3				Surprise									When declaring an attack or counterattack	You can target 1 unit of your army that has the skill "Accost". Deal +2 damage as a damage modifier. If Johalva uses this skill, the chip cost is reduced by -1.			
Elice (Relationships) .	RA	RA-040.png	1				Surprise									Anytime	You can target 1 male unit of your army (name in light blue). Until the end of the turn, the damage dealt is increased by +1 as a damage modifier.			
Nyna (Relationships) .	RA	RA-041.png	1				Surprise									Anytime	You can target 1 female unit of your army (name in pink). Until the end of the turn, the damage dealt is increased by +1 as a damage modifier.			
Battle Intensification .	RA	RA-042.png	5				Surprise									Anytime during your National Power Phase	You can target all units placed on the field, including enemies and allies. Until your start of the next turn, increase the damage dealt by all attacks and counterattacks by +2 as a damage modifier.			
The Chosen One	RA	RA-043.png	1				Surprise									When declaring an attack	Target 1 unit of your army. When that unit deals damage to an enemy unit, return the targt unit to your hand during the Processing Step. Then, place a [Class Change] card with the same unit name as the target unit from your deck or outside the battlefield onto the space your unit was previously placed in. You may place any number of unused chips on it. Attached cards, energy chips, and status ailments are handled using normal Class Change rules. If the card was placed from your deck, shuffle your deck.			
Across the River	RA	RA-044.png	3				Surprise									Anytime	Choose 1 of the following 3 effects. If the total "Leadership Lv" of all units of your army is 4 or higher, reduce the chip cost to 1 and you may use all the effects in any order you like: 1. Move 5 used chips to your unused chip pile. / 2. Recover status ailments (Sleep, Silence, etc.) from 1 unit of your army. / 3. Look at cards from the top of your deck equal to the amount of units of your army.Return the cards back on top of your deck in any order you wish. You can only use a card with this name once per turn.			
Delta Attack	RA	RA-045.png	3				Surprise									When declaring an attack	Target 1 unit of your army. Select 2 other units in an actionable state that belong to the same nation or class as the target unit and place them in the standby state. If you do, the damage dealt is increased by +5 as a damage modifier.			
March of the Goddess	RA	RA-046.png	1				Surprise									Anytime during your National Power Phase	Target all female units (name in pink) of your army. Until the start of your next turn, the target units have their maximum energy increased by +2. Reduce the cost of [Re-movement] and [Re-mounting] by 1, and negate any effects that consume energy on movement.			
Altar of Darkness .	RA	RA-047.png	2				Land										When a unit on this land attacks with [Dark] magic, deal 2 damage to the unit targeted by that attack during the Processing Step.			
Seliph (Lv20) .	RS	RS-004.png	8	3	2	Knight Lord	Male/Sword/Direct/Cavalry	Sword * / Lance B	Silver Sword	3		Father: Sigurd / Mother: Deirdre	Pursuit, Nihil		[Class Change]: Can be put into play when "Seliph" deals "attack damage" to an enemy unit. / [Prince of Light] (Energy 1): Reduce the cost of a skill or ability used by a unit of your army to 0. / [Re-movement] (Energy 1): After an action, the unit can move again. / [Training] Return this card from the hand to the deck and draw 1 card.			House Chalphy	Celice	
Lilina (Lv10) .	R4	R4-001.png	7	4		Sage	Female/Staff/Recovery/Infantry	Staff B / Anima A	Physic Staff			Father: Hector / Support: Roy	[Light]		[Support]: You can use used chips to support during the support step. Grants +1 support chip.			March of Ostia	Lilina	
Ward (Lv10)	R4	R4-002.png	6	1	1	Fighter	Male/Axe/Direct/Infantry	Axe A	Brave Axe: Number of attacks x2			Support: Dieck, Alen	[Fire]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			Western Isles	Wade	
Merlinus (Lv10)	R4	R4-003.png	4			Transporter	Male/Special/Cavalry		Goddess Icon: At the start of the turn, move 1 used chip to the unused chip pile.			Support: Roy	[Dark]		[Item Shop] (Energy 1): Instead of acting, you can attach 1 weapon, magic, or item card from your hand to an adjacent unit of your army. You do not need to pay the cost required to attach the card.			March of Pherae	Merlinus	
Rutger (Lv10)	R4	R4-004.png	6	3	1	Myrmidon	Male/Sword/Direct/Infantry	Sword A	Silver Sword			Support: Karel, Dieck	[Dark]		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Tribes of Sacae	Rutger	
Zelot (Lv10)	R4	R4-005.png	7	3	2	Paladin	Male/Axe/Direct/Cavalry	Sword C / Lance A / Axe A	Steel Axe			Support: Juno, Thea, Shanna, Trec, Noah, Ilian Mercenary Pegasus Knights, Ilian Knights	[Dark]		[Re-movement] (Energy 1): After an action, the unit can move again.			Knights Union of Ilia	Zelots	
Astolfo (Lv10)	R4	R4-006.png	4	2	1	Thief	Male/Sword/Direct/Infantry	Sword B	Iron Sword / Chest Key			Support: Hector, Lilina	[Dark]		[Procure] (Energy 1): Instead of acting, you may place the top non-Unit card from outside the battlefield on top of your Deck.			March of Ostia	Astore	
Melady (Lv10)	R4	R4-007.png	7	2	1	Wyvern Knight	Female/Lance/Direct/Flying	Lance B	Horseslayer [Effective Attack]: +2 vs. Cavalry			Brother: Zeiss / Support: Guinevere	[Dark]		[Re-movement] (Energy 1): After an action, the unit can move again.			Kingdom of Bern	Milady	
Perceval (Lv10)	R4	R4-008.png	7	1	2	Paladin	Male/Lance/Direct/Cavalry	Sword A / Lance A / Axe C	Brave Lance: Number of attacks x2	1		Support: Elffin, Klein	[Dark]		[Re-movement] (Energy 1): After an action, the unit can move again.			Kingdom of Etruria	Perceval	
Sophia (Lv10)	R4	R4-009.png	5	3	1	Shaman	Female/Dark/Magic/Infantry	Dark B	Luna: Negates effects that reduce damage or reduce the number of attacks.			Support: Niime	[Dark]		[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card.			Nabata Village	Sofiya	
Larum (Lv10)	R4	R4-010.png	3			Dancer	Female/Special/Infantry					Father: Douglas / Support: Ekhidna	[Thunder]		[Cheer] Adjacent allied units receive -1 damage from attacks or counterattacks. / [Dance] (Energy 1): Instead of acting, put an adjacent unit actionable state. Cannot be used after moving.			Kingdom of Etruria	Lalum	
Dayan (Lv10)	R4	R4-011.png	6	3	2	Nomad Trooper	Male/Bow/Indirect/Cavalry	Sword C / Bow A	Silver Bow	2		Child: Rath / Support: Sue	[Anima]		[Re-movement] (Energy 1): After an action, the unit can move again.			Tribes of Sacae	Dayan	
Cath (Lv10)	R4	R4-012.png	3	1	1	Thief	Female/Sword/Direct/Infantry	Sword C	Slim Sword: Negates effects that reduce the number of attacks by -1. / Lockpick				[Anima]		[Procure] (Energy 2): Instead of acting, you may place the top non-Unit card from outside the battlefield on top of your Deck. / [Steal] Your opponent moves chips from their unused chip pile to their used chip pile equal to the damage dealt x5.				Cath	
Lot (Lv10)	R4	R4-013.png	6	3	1	Fighter	Male/Axe/Direct/Infantry	Axe A	Halberd [Effective Attack]: +2 vs. Cavalry			Support: Dieck, Lance	[Anima]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			Western Isles	Lot	
Igrene (Lv10)	R4	R4-014.png	6	4	2	Sniper	Female/Bow/Indirect/Infantry	Bow A	Silver Bow / Talisman: Magic damage received -1			Father: Hawkeye / Support: Fae	[Ice]		[Snipe] (Energy 2): An enemy damaged by this attack must spend 1 energy chip to move during its next turn.			Nabata Village	Igrene	
Galle (Lv10)	R4	R4-015.png	8	3	2	Wyvern Lord	Male/Lance/Direct/Flying	Sword A / Lance A	Steel Lance	1		Support: Melady, Zeiss	[Ice]		[Re-movement] (Energy 1): After an action, the unit can move again.			Kingdom of Bern	Galle	
Brunnya (Lv10)	R4	R4-016.png	7	4	2	Sage	Female/Anima/Magic/Infantry	Staff A / Anima A	Fimbulvetr	1		Support: Zephiel			[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card. / [Bern's Western Army] When a non-"Dragon Tribe" unit of your army without an initial equipment ability (orange equipment) attacks using its initial equipment, the chip cost is reduced by -1.			Kingdom of Bern	Brunnya	
Narcian (Lv10)	R4	R4-017.png	8	4	2	Wyvern Lord	Male/Sword/Direct/Flying	Sword A / Lance A	Silver Sword						[Re-movement] (Energy 1): After an action, the unit can move again. / [Bern's Southern Army] When this unit deals damage to an enemy using its initial equipment, until the end of the turn, damage dealt by your units is increased by +1.			Kingdom of Bern	Nacien	
Murdock (Lv10)	R4	R4-018.png	8	4	2	General	Male/Axe/Direct/Infantry	Lance A / Axe A	Tomahawk: Can perform indirect attacks with initial equipment	3		Support: Zephiel			[Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip. / [Iron Wall] (Hand 2): Reduce damage taken by weapon attacks or counterattacks by -2. / [Bern's Northern Army] All units of your army belonging to the Kingdom of Bern have their maximum energy increased by +1.			Kingdom of Bern	Mardoc	
Zephiel (Lv10)	R4	R4-019.png	8	5	2	King	Male/Sword/Indirect/Infantry	Sword S	Eckesachs: The cost of attacking is reduced by -1. [Indirect Attack] (Energy 1): Can perform indirect attacks with initial equipment. [Effective Attack]: +2 vs. Dragons			Sister: Guinevere / Support: Idunn			[Command] (Energy 2): Reduce an Outside the Battlefield or Deck cost by 1. Effects stack.			Kingdom of Bern	Zefhyr	
Jahn (Lv10)	R4	R4-020.png	6	0	0	Manakete	Male/Breath/Infantry		Fire Dragonstone	2					[Fire Dragon Transformation] (Deck 2): Unit type becomes "Dragon Tribe" and gains the following abilities. Cannot attack without using [Fire Dragon Transformation]. / [Fire Breath] attacks or counterattacks deal +4 damage. / [Red Scales] -2 damage when receiving weapon damage.				Jahn	
Ilian Mercenary Pegasus Knights (Lv10)	R4	R4-021.png	5	2	1	Pegasus Knight	Female/Soldier/Lance/Direct/Flying	Lance B	Iron Lance / Elysian Whip: Instead of acting, you may Class Change an adjacent Flying unit of your army using a card from your hand.						[Re-movement] (Energy 1): After an action, the unit can move again. / [Accompany B]: If a unit of the same country is on the field, you can sortie this unit with 1 energy chip in a sortie square.					
Ilian Knights (Lv10)	R4	R4-022.png	5	2	1	Pegasus Knight	Female/Soldier/Lance/Direct/Flying	Lance B	Iron Lance						[Re-movement] (Energy 1): After an action, the unit can move again. / [Contract] When placing this unit, you may choose 1 nation. If you do, consume 1 unused chip, and this nation belongs to the chosen nation. [Convene A] When a unit of the same country is already on the field, if you sortie this unit, you can draw 1 card from your deck.					
Guy (Lv10)	R4	R4-023.png	6	4	1	Myrmidon	Male/Sword/Direct/Infantry	Sword B	Steel Blade / Secret Book			Support: Matthew	[Fire]		[Sharp Blade] (Deck 1): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Tribes of Sacae	Guy	
Dorcas (Lv10)	R4	R4-024.png	8	3	1	Fighter	Male/Sword/Direct/Infantry	Axe A	Emblem Axe			Support: Natalie, Bartre	[Fire]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			Kingdom of Bern	Dorcas	
Lowen (Lv10)	R4	R4-025.png	8	3	1	Cavalier	Male/Lance/Direct/Cavalry	Sword B / Lance B	Emblem Lance			Support: Marcus, Harken	[Fire]		[Re-movement] (Energy 1): After an action, the unit can move again.			March of Pherae	Lowen	
Jaffar (Lv10)	R4	R4-026.png	5	1	2	Assassin	Male/Sword/Direct/Infantry	Sword A	Slim Sword: Negates effects that reduce the number of attacks by -1.				[Ice]		[Lethality] (Hand and Deck 4): Remove any unit that takes attack or counterattack damage from the initial equipment.			Black Fang	Jaffar	
Isadora (Lv10)	R4	R4-027.png	7	4	2	Paladin	Female/Sword/Direct/Cavalry	Sword A / Lance B / Axe C	Silver Sword / Red Gem: Counts as 2 cards when used for a deck or outside the battlefield cost.			Support: Harken, Marcus	[Dark]		[Re-movement] (Energy 1): After an action, the unit can move again.			March of Pherae	Isadora	
Karla (Lv10)	R4	R4-028.png	7	3	2	Swordmaster	Female/Sword/Direct/Infantry	Sword A	Wo Dao [Sharp Strike] (Hand 2): +2 Damage			Brother: Karel / Child: Fir / Support: Bartre	[Dark]		[Sharp Blade] (Deck 2): Reduce the energy chips consumed for attacks or counterattacks by -2. Can be used up to two times.			Tribes of Sacae	Karla	
Rath (Lv10)	R4	R4-029.png	7	2	1	Nomad	Male/Bow/Indirect/Cavalry	Bow B	Emblem Bow			Father: Dayan / Child: Sue / Support: Wil	[Dark]		[Re-movement] (Energy 1): After an action, the unit can move again.			Tribes of Sacae	Ruth	
Kishuna (Lv10)	R4	R4-030.png	5			Magic Seal	Male/Special/Infantry					Support: Nergal			[Magic Seal]: Units within range cannot use staves or perform magic attacks or counterattacks. [Evasion] (Energy 2): Reduce the number of enemy attacks by -1.				Kishuna	
Fargus (Lv10)	R4	R4-031.png	7	4	2	Berserker	Male/Axe/Direct/Infantry	Axe A	Killer Axe [Sharp Strike] (Hand 2): +2 Damage / White Gem [Ability]: At the start of the turn, you may place 1 non-unit card from outside the battlefield on the bottom of your deck.	1		Support: Dart	[Thunder]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack.			Davros Pirates	Fergus	
Brendan (Lv10)	R4	R4-032.png	7	5	2	Warrior	Male/Axe/Direct/Infantry	Axe S / Bow A	Silver Axe / Boots	2		Child: Linus, Lloyd, Nino	[Light]		[Crush] (Deck 2): Remove all cards attached to enemy units damaged by this attack or counterattack. / [Leader of the Black Fang] All units of your army belonging to the Black Fang have their maximum energy increased by +1.			Black Fang	Brendan	
Uhai (Lv10)	R4	R4-033.png	6	3	2	Nomad Trooper	Male/Bow/Indirect/Cavalry	Sword B / Bow A	Killer Bow [Sharp Strike] (Hand 2): +2 weapon triangle	1					[Re-movement] (Energy 1): After an action, the unit can move again.			Black Fang	Uhai	
Limstella (Lv10)	R4	R4-034.png	7	1		Sage	Staff/Special/Infantry	Staff S / Anima S	Torch Staff: Reveal the top card of your deck. If it is a land card, you may add it to your hand. If it is any other card or you choose not to add it to your hand, you may place it on the bottom of your deck.	1		Support: Nergal			[Support]: You can use used chips to support during the support step. Grants +1 support chip. / [Unknown Gender] This unit is treated as both male and female.			Black Fang	Limstella	
Nergal (Lv10)	R4	R4-035.png	8	4	2	Dark Druid	Male/Dark/Magic/Infantry	Staff S / Anima S / Light S / Dark S	Ereshkigal: Negates effects that reduce damage or reduce the number of attacks.	3					[Afterimage] (Energy X): If you attack using a magic card, it is not removed. X is the amount of required chips for the magic card. / [Weakness]: Receives +2 damage from Aureola.				Nergal	
Fire Dragon (Lv20)	R4	R4-036.png	10	5	3	Dragon Tribe	Male/Breath/Infantry						[Dark]		[Scorching Breath]: Deals +2 damage when attacking or counterattacking. / [Scorching Scales]: Receives -2 damage from attacks.					
Mark (Lv10)	R4	R4-037.png	4	1	1	Tactician	Female/Sword/Direct/Infantry	Sword C	Iron Sword	3		Support: Lyn, Eliwood, Hector			[Winds of Battle]: Cards with "Battlefield" in their name, can be used even if no unit of your army is placed on them, and they are not removed from play even if no unit of the corresponding affinity is on the field. Reduce the cost of cards with (Affinity) in their name by -1.				Mark	
Binding Blade	R4	R4-038.png	3	3			Weapon	Sword S									Only 1 of this weapon can be placed on the field, and it can only be equipped to units that have "Affinity" listed in their description. "Roy" can equip this weapon even if he does not meet the equipment requirements. At the start of the turn, you may place 1 used chip on the equipped unit. When Roy selects this weapon in battle, he deals +3 damage as a damage modifier, and reduces damage received by -1 as a damage modifier. If an indirect attack or counterattack is performed, return this card to the deck, then shuffle it.			
Wo Dao	R4	R4-039.png	1	4			Weapon	Sword C									This weapon can only be equipped to Infantry/Direct Attack units. [Sharp Strike] (Hand 2): Increase the damage dealt by +2 as a damage modifier. If equipped by a "Myrmidon" or "Swordmaster", the hand cost is reduced by -1.			
Spear	R4	R4-040.png	2	2			Weapon	Lance B									When attacking or counterattacking an enemy unit that is not adjacent, the cost for attacking or counterattacking is increased by +1. 			
Forblaze	R4	R4-041.png	4	5			Magic	Anima C									This card is removed after use. [Legendary Weapon]: The unit equipped with this magic card is treated as having the [Anima] affinity in addition to its original affinity. If you attack or counterattack with this magic card, consume X unused chips as an additional cost on top of the standard cost. (C = 3, B = 2, A = 1, S = 0). [Purest Fire] When attacking or counterattacking with this magic, the effects of all cards attached to the enemy unit are negated, and an enemy that receives damage removes all attached cards. [Effective Attack] Deals +2 damage vs. Dragons when attacking or counterattacking.			
Aureola	R4	R4-042.png	4	5			Magic	Light C									This card is removed after use. [Legendary Weapon]: The unit equipped with this magic card is treated as having the [Light] affinity in addition to its original affinity. If you attack or counterattack with this magic card, consume X unused chips as an additional cost on top of the standard cost. (C = 3, B = 2, A = 1, S = 0). [Glorious Ascension]: Until the end of the turn, negate the effects of surprise cards that target the attack target enemy unit. [Effective Attack]: Deals +2 damage vs. Dragons when attacking or counterattacking.			
